atleta_id,club_id
2,1
3,2
4,3
5,2
6,4
7,5
7,6
7,7
7,8
12,9
13,1
14,2
15,4
15,10
15,11
17,1
18,11
19,12
20,13
21,3
24,2
25,2
26,14
27,11
27,15
29,16
31,17
32,1
33,18
36,19
39,20
42,21
45,22
48,23
50,24
54,25
58,26
63,21
66,27
70,28
72,29
73,30
74,31
75,21
77,32
78,20
79,33
82,20
85,34
88,35
89,35
90,36
101,21
106,37
108,21
109,20
112,38
119,39
123,40
124,41
126,42
127,43
128,44
129,45
130,46
131,47
132,48
132,49
132,50
132,51
133,52
134,53
135,54
136,45
136,55
136,56
137,54
138,57
139,58
140,59
141,60
142,61
143,43
144,62
145,63
146,64
147,65
148,66
149,67
150,68
151,69
152,43
153,54
154,70
155,71
156,72
157,59
157,73
158,74
159,44
160,75
161,76
162,77
163,68
164,43
169,78
172,78
173,79
174,79
178,80
178,81
179,82
179,83
179,84
179,85
180,86
181,78
182,78
183,87
184,78
185,88
186,78
206,89
206,90
207,91
208,92
209,93
210,94
211,95
212,96
213,97
213,98
213,99
214,89
215,100
216,95
217,101
218,95
219,102
220,91
221,103
222,104
223,105
224,91
224,100
225,106
225,1198
226,107
227,108
228,95
229,95
230,95
230,109
231,108
238,110
243,111
247,112
248,113
250,112
252,112
253,112
254,114
255,112
256,112
257,112
257,115
262,112
268,112
290,116
291,117
292,118
293,119
294,118
294,120
295,121
298,122
300,121
301,123
302,124
304,125
309,126
313,127
319,127
320,128
324,129
328,130
329,127
330,131
333,132
335,127
336,133
356,134
359,293
359,7310
359,9193
359,9326
359,12542
361,135
362,136
363,136
367,136
369,137
370,138
371,139
374,17639
376,136
378,140
379,139
380,141
381,142
382,143
389,7825
390,144
411,145
412,146
413,147
414,148
415,149
416,150
417,151
418,151
431,152
432,153
433,154
434,155
435,156
436,157
437,158
438,159
439,160
440,161
441,162
442,162
443,157
444,163
445,164
446,165
447,166
448,167
449,168
452,169
453,169
454,170
456,171
457,172
458,173
459,174
460,173
462,173
463,175
464,176
467,177
468,178
469,179
470,173
471,180
472,181
473,182
475,183
477,184
478,185
479,186
480,173
482,187
483,188
484,189
485,190
487,191
488,183
489,173
491,192
492,182
493,175
494,183
495,193
497,194
498,195
499,196
500,171
501,197
502,171
504,198
505,199
506,200
507,201
508,202
509,203
510,204
511,205
512,206
512,207
513,208
514,209
514,15297
515,200
516,210
517,211
518,212
519,213
520,214
521,203
522,215
523,212
524,216
525,217
526,209
526,218
527,201
528,219
529,220
530,221
530,222
531,223
532,224
533,225
534,220
535,226
536,227
536,228
539,229
539,230
540,231
542,232
543,233
544,234
545,235
546,236
547,237
548,238
549,239
550,240
551,219
552,241
553,242
554,243
556,235
557,244
558,220
559,220
560,245
561,246
562,219
563,247
564,248
565,245
566,249
567,250
568,251
570,250
571,252
572,250
573,249
574,226
575,253
576,254
577,255
578,248
579,236
580,256
582,257
583,250
585,237
587,250
588,258
589,259
590,236
593,237
594,260
595,261
607,122
608,122
609,262
611,122
616,263
619,122
620,264
622,265
625,266
628,122
629,267
630,264
633,264
634,122
635,122
644,268
647,269
648,270
649,271
651,272
654,273
655,274
658,275
663,276
666,277
667,278
669,279
673,277
674,279
675,277
677,278
678,278
680,6
681,280
682,281
683,277
688,282
691,6
692,283
700,284
701,285
702,285
703,286
706,287
707,288
711,289
717,290
718,291
718,292
719,293
720,294
721,295
722,296
724,297
725,298
725,299
727,300
728,301
729,302
730,303
731,303
733,304
734,305
736,306
737,307
738,304
739,307
740,307
742,308
743,309
744,310
746,311
747,307
748,312
751,313
754,314
758,315
759,316
760,315
773,23715
774,490
774,18253
776,317
779,318
784,319
799,320
800,321
801,322
802,323
803,324
806,325
807,326
808,327
809,325
812,328
813,329
814,330
818,330
819,331
821,332
822,333
823,334
824,335
839,336
841,337
842,338
843,338
844,337
845,337
850,339
852,340
854,341
855,342
856,343
857,344
859,344
860,345
861,337
864,346
870,344
873,337
876,347
877,348
879,349
880,350
882,351
882,352
884,353
889,354
890,352
890,355
891,356
892,357
893,358
899,359
900,360
901,358
902,361
903,362
903,363
904,360
904,364
909,352
909,365
910,366
911,367
912,365
912,368
913,369
916,367
920,370
922,364
923,361
924,371
924,372
925,354
928,352
928,373
929,374
931,361
934,375
934,376
935,377
938,378
938,379
946,380
965,6504
984,381
992,382
994,383
1007,384
1010,385
1017,386
1022,387
1023,388
1024,388
1025,388
1026,388
1027,389
1028,390
1029,388
1030,390
1031,388
1032,391
1033,392
1036,393
1061,394
1062,395
1063,394
1064,394
1065,396
1066,397
1067,398
1068,399
1069,400
1070,401
1073,296
1074,402
1075,296
1076,293
1077,293
1081,403
1082,404
1083,404
1087,32827
1088,293
1091,2214
1097,405
1101,406
1103,296
1103,21878
1106,407
1107,296
1108,408
1109,409
1110,293
1111,407
1112,407
1113,293
1114,405
1130,410
1131,410
1133,411
1135,412
1136,413
1137,410
1138,414
1139,415
1140,416
1142,417
1143,418
1144,410
1146,410
1149,2820
1150,410
1151,419
1154,420
1157,421
1158,410
1159,422
1162,423
1164,424
1165,410
1166,425
1167,426
1168,427
1169,428
1170,410
1172,429
1174,430
1175,431
1175,432
1177,433
1180,434
1181,435
1183,410
1184,436
1186,306
1187,437
1188,427
1189,410
1190,438
1193,439
1194,440
1195,441
1196,430
1197,442
1201,441
1202,410
1203,410
1204,443
1206,444
1210,445
1211,426
1212,420
1214,446
1216,424
1218,447
1219,448
1221,449
1223,450
1226,451
1227,452
1230,410
1231,430
1233,453
1234,454
1235,455
1236,419
1237,430
1238,410
1254,33079
1258,456
1259,457
1282,25847
1294,458
1342,459
1343,460
1344,460
1345,461
1346,462
1347,463
1354,464
1355,465
1356,466
1358,465
1359,467
1360,467
1361,468
1362,464
1364,469
1365,466
1366,459
1369,470
1371,462
1373,471
1374,472
1375,466
1376,473
1378,474
1380,475
1381,476
1382,477
1384,478
1385,478
1389,465
1396,462
1397,479
1398,480
1399,481
1400,482
1401,483
1402,460
1406,459
1407,478
1408,466
1409,460
1413,484
1415,485
1416,486
1417,478
1418,474
1419,487
1420,488
1423,479
1425,485
1427,485
1428,482
1429,464
1431,475
1432,460
1434,489
1435,490
1436,491
1437,471
1441,475
1442,478
1444,492
1445,492
1445,18253
1445,26749
1446,493
1447,488
1448,494
1450,492
1451,495
1452,496
1453,492
1454,494
1455,492
1456,497
1457,497
1458,492
1459,498
1460,499
1461,500
1462,501
1463,502
1464,501
1465,500
1466,501
1466,503
1467,501
1468,500
1469,498
1469,504
1470,505
1471,498
1471,506
1472,498
1472,506
1473,502
1474,500
1475,507
1476,508
1477,502
1478,509
1479,510
1480,511
1481,512
1482,510
1483,513
1484,514
1486,515
1487,516
1488,513
1489,516
1492,517
1493,510
1494,518
1496,519
1497,520
1498,511
1500,517
1502,511
1505,516
1506,512
1507,521
1508,522
1509,516
1518,6868
1522,2615
1528,523
1530,524
1531,524
1532,525
1533,524
1534,526
1535,526
1536,527
1537,526
1538,528
1539,527
1540,529
1542,528
1542,14495
1544,528
1545,528
1547,526
1548,530
1549,527
1550,531
1551,531
1552,532
1553,532
1553,533
1554,534
1555,535
1556,535
1556,536
1557,537
1558,534
1558,535
1559,531
1560,531
1561,532
1561,536
1562,531
1563,531
1564,534
1565,534
1566,535
1568,538
1569,539
1570,531
1572,540
1574,535
1577,531
1578,531
1579,531
1581,536
1582,541
1583,542
1584,543
1587,544
1588,545
1589,546
1591,542
1592,547
1593,548
1594,549
1594,550
1595,348
1597,551
1598,552
1600,551
1603,544
1604,544
1605,544
1607,553
1610,554
1612,555
1613,556
1614,544
1616,557
1625,558
1681,8039
1686,559
1687,560
1688,561
1689,562
1690,563
1691,564
1692,565
1693,563
1694,564
1695,566
1696,567
1697,565
1698,568
1699,568
1700,562
1701,569
1702,570
1702,725
1703,571
1704,572
1705,573
1706,569
1707,563
1708,574
1709,564
1709,12600
1710,575
1711,560
1711,14422
1712,574
1712,26670
1713,561
1714,576
1715,564
1716,562
1717,577
1718,564
1719,578
1720,579
1721,580
1722,581
1723,582
1724,562
1725,570
1726,564
1727,562
1728,564
1729,577
1730,583
1731,583
1732,584
1733,564
1734,585
1735,565
1736,562
1737,563
1737,10336
1738,574
1739,586
1740,582
1741,564
1741,5978
1742,564
1743,587
1744,562
1745,588
1745,9427
1746,564
1747,589
1748,587
1749,562
1750,590
1751,561
1751,582
1752,591
1753,564
1754,564
1755,564
1756,592
1757,564
1758,570
1759,593
1760,593
1761,564
1762,594
1771,595
1789,11715
1797,596
1804,597
1805,598
1807,5401
1808,599
1812,598
1816,598
1818,599
1819,598
1821,600
1822,601
1827,602
1831,597
1832,598
1833,598
1840,598
1846,598
1851,603
1854,604
1859,605
1862,606
1868,607
1869,608
1870,607
1870,15593
1871,609
1872,610
1873,610
1874,95
1874,607
1874,1198
1874,12801
1901,611
1902,612
1903,613
1904,614
1905,615
1908,616
1909,617
1910,618
1911,619
1913,620
1915,621
1923,622
1926,623
1944,669
1948,361
1950,624
1951,625
1952,626
1953,4983
1957,627
1963,626
1963,628
1964,629
1968,630
1976,631
1977,631
1980,631
1982,632
2008,633
2015,634
2016,635
2018,636
2019,637
2020,638
2021,639
2022,640
2025,641
2026,642
2027,643
2028,644
2029,645
2030,646
2031,647
2032,648
2044,649
2045,650
2046,651
2047,652
2048,653
2049,654
2050,653
2051,655
2052,656
2053,657
2054,654
2055,654
2056,655
2057,658
2058,654
2059,656
2060,659
2061,660
2062,661
2063,662
2064,663
2065,664
2066,665
2091,666
2094,667
2096,405
2097,668
2098,669
2099,670
2100,671
2102,672
2105,673
2106,674
2108,675
2109,676
2113,675
2115,675
2116,677
2117,678
2117,679
2117,34888
2118,680
2119,681
2120,682
2121,682
2122,683
2123,684
2124,685
2125,686
2126,678
2127,678
2128,686
2129,687
2130,688
2131,684
2132,678
2132,689
2133,690
2134,691
2138,692
2162,693
2171,694
2173,695
2175,696
2177,697
2178,698
2179,699
2180,700
2180,701
2181,702
2183,703
2184,377
2186,704
2187,705
2187,706
2189,377
2191,707
2195,708
2198,709
2200,710
2204,709
2206,711
2208,709
2209,709
2211,709
2213,712
2214,713
2215,713
2216,708
2217,709
2217,2407
2218,713
2219,709
2221,713
2222,709
2225,712
2227,708
2228,714
2229,708
2233,713
2234,709
2235,708
2236,712
2237,709
2238,708
2239,712
2240,712
2242,715
2243,708
2244,709
2245,716
2301,490
2312,2119
2315,23907
2326,717
2332,718
2340,719
2341,720
2342,382
2342,721
2342,722
2342,723
2343,724
2343,18843
2346,725
2347,726
2348,727
2349,725
2350,728
2351,728
2352,729
2353,730
2354,727
2355,731
2356,731
2357,725
2358,727
2358,728
2359,728
2360,732
2361,725
2362,733
2363,733
2364,726
2365,728
2366,734
2367,725
2368,735
2369,726
2370,728
2371,728
2372,725
2373,727
2374,725
2374,8609
2375,731
2376,726
2377,731
2378,725
2379,727
2380,727
2380,732
2381,731
2382,733
2383,726
2384,725
2385,726
2386,725
2393,736
2397,737
2399,738
2400,739
2401,740
2402,741
2404,740
2405,740
2406,742
2407,742
