club_id,nombre_club,pais_id
1,Racing Club de France,FRA
2,TCP,FRA
3,Sporting club de Paris,FRA
4,SAG Cestas,FRA
5,AS Pontoise-Cergy TT,FRA
6,Royal Villette Charleroi,BEL
7,Espérance de Reuilly Tennis de Table,FRA
8,Levallois SCTT,FRA
9,Sporting Club de France,
10,Caen TTC,FRA
11,Levallois SC,FRA
12,Sporting Club Vichy,
13,Sporting Club d'Houlgate,FRA
14,LTC Nice,
15,Istres Sports,FRA
16,unattached,
17,Tennis Club de Puteaux,FRA
18,HBC,
19,Lille UC,FRA
20,Queen's Club,GBR
21,Wimbledon,
22,Chiswick Park Lawn Tennis Club,GBR
23,Riverside,
24,Gosling,
25,NFD Grove,
26,Molndais BTK,
27,Churchtown BC,GBR
28,Lanz SC/Bitterne LC,
29,Southdown Lawn Tennis Club,
30,Lancashire,
31,Fellows Cranleigh TTC,GBR
32,Solihull Arden Club,GBR
33,University of Oxford,GBR
34,Falkenbergs BTK,SWE
35,All England Lawn Tennis and Croquet Club,GBR
36,Bathwick Tyres,
37,Fitzwilliam Lawn Tennis Club,IRL
38,Saarbrücken,
39,Island Tennis Club,FRA
40,Abbeydale,
41,TC Brühl,GER
42,HTC,GER
43,Rot-Weiß Berlin,GER
44,Akademischer SV Dresden,
45,TSG Dülmen,GER
46,TuS Jahn Soest,GER
47,RTHC Bayer Leverkusen,GER
48,TSG Dülmen,
49,Bayer Uerdingen,
50,SV Winterwerb,
51,TV Busenbach,
52,TuS Wiebelskirchen,GER
53,Budapest,
54,FC Langenfeld,GER
55,Spvg Steinhagen,GER
56,FSV Kroppach,GER
57,TK Grün-Weiß Mannheim,GER
58,TTC Grenzau,GER
59,Borussia Düsseldorf,GER
60,TTF Ochsenhausen,GER
61,TV Mainz-Zahlbach,GER
62,Blau-Weiß Neuss,GER
63,Anglo-American Club,GER
64,PSV Grün-Weiß Wiesbaden,GER
65,Harvestehuder THC,GER
66,Blau-Weiß Neuss,
67,1. BC Bischmisheim,GER
68,SC Frankfurt 1880,GER
69,BSC Eintracht Südring,GER
70,TC Amberg am Schanzl,GER
71,Rostocker LTC,GER
72,ATSV Saarbrücken,GER
73,TTV Gönnern,GER
74,Leipziger SC,GER
75,TEC Waldau,GER
76,MTTC Iphitos,GER
77,Germania Hamburg,GER
78,Athens Lawn Tennis Club,GRE
79,Panellinios GS,GRE
80,Alexandria Sporting Club,EGY
81,Ifitos Kairou,EGY
82,Finower TTC,
83,TTF Liebherr Ochsenhausen EV,
84,G.U. Hennebont,
85,Metz SMEC,
86,Lawn Tennis Athens,
87,Panakhaikos Syllogos Patron,
88,Sport Athlétique Gazinet-Cestas Tennis de Table,
89,BSE,HUN
90,TTC Langweid,GER
91,Budapesti Spartacus SC,HUN
92,Haladás Zrínyi Sportegyesület,
93,Debreceni Kinizsi,
94,Nyíregyházi Vasutas SC,HUN
95,MAC,HUN
96,Vasas,HUN
97,Statisztika-Metalloglobus,
98,Turnverein Busenbach,
99,FPV Kroppach,
100,Postás SE,HUN
101,Ceglédi Vasutas Sportegyesület,
102,USC Wolkersdorf,
103,Budapesti Spartacus Sport Club/Hunguest/Malév LRI,
104,Magyar Atlétikai Klub/Edison KE,
105,Budapesti Spartacus Sport Club/Hunguest,
106,Budapesti Sportegyesület/LRI-Malev,
107,NTE,HUN
108,Budapesti Lawn-Tennis Club,HUN
109,BKE,HUN
110,PB Kotab,INA
111,Jaya Raya,INA
112,PB Djarum,INA
113,Conservatrix Velo,
114,PB Suryanaga,INA
115,SGS Bandung,INA
116,Tiro Federal de Lomas de Zamora,ARG
117,Tiro Federal General José de San Martín,ARG
118,South Queensland Archery Society,AUS
119,Kalamunda Governer Stirling Archery Club,
120,Toowoomba Company of Archers,AUS
121,Canberra Archery Club,AUS
122,?,AUS
123,Liverpool City Archers,
124,North East Archers/Sydney Olympic Park Archers,
125,Bowman of Melville,
126,ASKÖ Steyrermühl,AUT
127,?,BEL
128,Elite Dendermonde,
129,Boogschuttersvereniging Willem Tell,BEL
130,St. Sebastiaan,
131,De Vrije Schutters,BEL
132,Grand Serment,BEL
133,St.-Sebastiaan Wuustwezel,
134,Marina Barra Clube,BRA
135,Centaver,
136,Victoria Bowmen Archery Club,CAN
137,Tir à l'Arc de Montréal,
138,Archers de Lasalle,
139,Les Francs Archers de Ste.-Foy,
140,Cupidon Club,
141,Richmond Green Archery Club,
142,Richmond Green,
143,Jilin Archery Club,
144,Shanxi Archery Team,
145,GNT Automatic,
146,Helsinge Skytte- & Idrætsforening,
147,Lyngby Bueskyttelaug,
148,Fredrikshavn Bueskytteforening,
149,Silkeborg Idrætsforening Bueskyttelaug,
150,Holstebro Bueskytteforening,
151,Aalborg Bueskyttelaug,DEN
152,Arco Oviedo,
153,AC Ilves Järvakandi,
154,Harjavallan Jousiampujat,
155,Hyvinkään Tahko,FIN
156,Arcus,
157,Amarco,FIN
158,Turengin Kiila,
159,Suomussalmen Vastus,FIN
160,Vaasan Jousiampujat,
161,Pohjan Jousi,
162,Porin Jousiampujat,FIN
163,Apollo,
164,Tampereen Jousiampujat,
165,Robin Hood,
166,Oulun Jousimiehet,FIN
167,Vitrolles,
168,Arc Club de Nîmes,FRA
169,Compagnie d'Arc de Villiers sur Marne,FRA
170,Dijon,
171,Les Archers de Compiègne,FRA
172,1ère Compagnie d'Arc de Montreuil-sous-Bois,FRA
173,Compagnie d'Arc Saint Pierre Montmartre,FRA
174,Compagnie d'Arc de Nogent-sur-Oise,FRA
175,1ère Compagnie d'Arc d'Aubervilliers,FRA
176,Compagnie d'Arc de Vic sur Aisne,FRA
177,1er Compagnie d'Arc de Montfermeil,FRA
178,Compagnie d'Arc de Béthisy-Saint-Pierre,FRA
179,US Montfermeil,FRA
180,Stade Clermontois,
181,Bonneil,
182,Compagnie d'Arc de Vincennes,FRA
183,Compagnie d'Ulysse,FRA
184,Ajaccio,
185,Compagnie de Thiescourt,FRA
186,Compagnie de Couilly,FRA
187,2ème Compagnie de Champiguy,
188,USM Vire,FRA
189,Compagnie d'Arc d'Esbly,FRA
190,Octeville,
191,Compagnie d'Arc de Souilly,FRA
192,Compagnie de Pont-Sainte-Maxence,FRA
193,Compagnie d'Arc de Soissons,FRA
194,Esbly,
195,Compagnie d'Arc de Villemomble,FRA
196,Compiegne,
197,Belfort,
198,SV Holtorf,GER
199,Schützenverein Höfen,GER
200,Hamburger Bogenschützen Gilde,GER
201,BS Berghaupten,GER
202,SSV Laudenbach,GER
203,BC Gelsenkirchen,GER
204,CdB Marl,GER
205,BSC Augsburg,GER
206,1. Berliner BS,GER
207,SG Bergmann-Borsig,GER
208,BC Babenhausen,GER
209,SK Fellbach-Schmiden,GER
210,TSV Natternberg,GER
211,FSG Tacherting,GER
212,SV Holzen,GER
213,SGi Ludwigsburg,GER
214,SGI Sindelfingen,GER
215,Kgl. privil. Freihandschützen,GER
216,1. Münchner BC,GER
217,BS Uelzen-Gerdau,GER
218,SGi Welzheim,GER
219,Mid Surrey Archery Club,GBR
220,Hereford Bowmen,GBR
221,Edinburgh Ladies,GBR
222,East Sheen,GBR
223,Folkestone Archery Society,GBR
224,Lonsdale Archers,GBR
225,Walsall Company of Archers,GBR
226,Welford Park Archers,GBR
227,Atkins Archers,
228,Royal Toxophilite Society,
229,Euston Park Bowmen,
230,Leamington Spa Archery Society,
231,Bangor & District Archery Club,
232,Dunlop and Angier,
233,Archers of the Teme,GBR
234,Archers of the Weald,GBR
235,Worcestershire Archery Society,GBR
236,Backwell and District Archery Club,GBR
237,Devon and Cornwall AS,GBR
238,Cheltenham Archers,GBR
239,Royal Richmond Archery Club,GBR
240,Cleadon Archers,GBR
241,Greater Manchester Police,
242,Barnacre Archers,GBR
243,Norfolk Bowmen,
244,Hove Toxophilite Society,GBR
245,West Kent Archery Society,GBR
246,Laleham Archery Club,
247,Long Mynd Archers,GBR
248,Hampshire County Archery Society,GBR
249,Herefordshire York Round Club,GBR
250,Royal Toxophilite Society,GBR
251,Sefton Hospital Archery Club,
252,West Somerset Archery Society,GBR
253,Stafford Archers,
254,Dunlop Archery Club,GBR
255,Bowmen of Harrow,GBR
256,Wirral Archers,GBR
257,Royal Leamington Spa Archery Society,GBR
258,Vale of White Horse Archers,GBR
259,Nethermoss Archers,GBR
260,Lincoln Archers,GBR
261,Audco Archers,GBR
262,Western Suburbs,
263,AIS,AUS
264,Croydon,
265,Ballarat Badminton Association,AUS
266,Victoria Amateur Athletic Association/Melbourne Track Club,
267,Geelong,
268,SG Wolkersdorf/Langenlois,
269,TTC Frickenhausen,
270,BSC 70 Feibra Linz,
271,Sportverein Schwechat Wien,
272,ASKÖ Traun,
273,TTC Kuchl,AUT
274,SVS Niederösterreich,AUT
275,Wiener AC,AUT
276,TTC Wolvertem,
277,Royal Léopold Club,BEL
278,RTC Liège,BEL
279,Royal Beerschot THC,BEL
280,Royal Villette Charleroi,
281,Lebad,
282,VS Minsk,BLR
283,LTC Praha,CZE
284,Turnberry Yacht,
285,Santo André,
286,Play Tennis,
287,TC Paulista,BRA
288,Suzano,
289,São Paulo FC,BRA
290,Montpellier TT,FRA
291,Liulin,BUL
292,La Chaux de fonds,SUI
293,CSKA Sofia,BUL
294,Maleevi,
295,Liulin,
296,Levski Sofia,BUL
297,Trakia,BUL
298,Eatek College Club,
299,Pazardzhik,
300,Canadian National Yable Tennis Training Center,
301,Vancouver Table Tennis Centre,
302,Vancouver Racquets Club,CAN
303,National Training Centre,
304,All-Canadian Academy,
305,National Elite Training Centre,
306,National Team,
307,RA Centre,
308,North Shore Winter Club,CAN
309,Winnipeg Winter Club,
310,Victoria Lawn Tennis Club,CAN
311,Royal Billette Charleroi,
312,Vancouver Island Badminton Club,
313,Centre Sportif Carrefour,
314,Fitness Institute Toronto,
315,Glencoe Club,CAN
316,Metro West Racquet Club,
317,Hunan Provincial Tennis Team,CHN
318,Potimac Table Tennis Club,
319,Carrickmines Croquet & Lawn Tennis Club,IRL
320,Polisportiva Castell. Castelgoffredo (MN),
321,Union Sportive Bicentre,
322,Circolo del Tennis Torino,ITA
323,TC Bologna.,ITA
324,Francesco Elia,
325,Tennis Club Milano,ITA
326,Tennis Club Napoli,
327,Sterilgarda Tennistavolo,ITA
328,Tennis Club La Meridiana (MO),
329,Società Lawn Tennis Genova,
330,TC Milano,ITA
331,Mobili Grinza Pirino,ITA
332,Sporting Club Isolaverde,
333,Club Atletico Faenza,
334,Junior Tennis Club,
335,AS Le Pleiadi,
336,Bank of Ikeda,
337,NTT Tokyo,
338,Suntory,
339,Wakayama Bank,
340,Wacoal,
341,Matsushita Electric Works,
342,Takada Shokai Co.,JPN
343,Harvard Crimson,USA
344,Mitsui & Co.,JPN
345,Mitsubishi Heavy Industries,JPN
346,SV Weru Pluderhausen,
347,Kyoma Hakko Kogyo,
348,Waseda University,JPN
349,Tokyo Art,
350,Oriri Cosmetics Company,KOR
351,Haksan women's high school,KOR
352,Samsung Electro-Mechanics Co.,KOR
353,Samsung Electric Company,KOR
354,Choongnam Provincial Office,KOR
355,Pusan Foreign University,KOR
356,Korea Tobacco and Ginseng Corporation,KOR
357,Chunbook Bank,KOR
358,Korea Airline,KOR
359,Kyunghee University,KOR
360,Jeil Textile Company,KOR
361,Samsung Securities Co.,KOR
362,Korea National Sport University,KOR
363,Daekyo Co,KOR
364,Samsung Life Table Tennis Club,KOR
365,Wonkwang University,KOR
366,Kangnam Ward Office,KOR
367,Daewoo Stock Company,KOR
368,Wonkwang UniversitySamsung Electro-Mechanics Co.,KOR
369,Daejeon Central Ward Office,KOR
370,Choongju City Hall,KOR
371,Suncheon University Graduate School,KOR
372,Korea National University of Physical Education,KOR
373,Hannam University,KOR
374,Donga Stock Company (KOR,
375,Nav LTS,
376,Daugava,
377,Dynamo Lviv,UKR
378,ttc berlin eastside,GER
379,US Saint-Berthevin/Saint-Loup TT,FRA
380,Club BMCE Bank,MAR
381,Farm Frites,
382,Borussia Düsseldorf,
383,Sportverein Pluderhausen,
384,Marmande Table Tennis Club,
385,Sports Club Poppenbüttel III,
386,St. Augustine's Falcons,USA
387,TTC FVT de Keij,
388,Oslo Tennisklubb,NOR
389,Ready,
390,Snarøen tennisklubb,NOR
391,Sandefjord Badmintonklubb,NOR
392,Drammen Lawntennisklub,
393,Manawatu,
394,ŁKS Technika Głubczyce,
395,Olsza Kraków,POL
396,SKT Sopot,POL
397,MKT Łódź,POL
398,Tennis Association Katowice,
399,Poloneza Warszawa,
400,Górnika Bytom,
401,KS Motusa Koszalin,
402,Cherno More,BUL
403,Udarnik,BUL
404,Lokomotiv Plovdiv,BUL
405,CSKA (Central Sport Klub Army),
406,Akademik,BUL
407,Slavia Club,
408,Dobrudzha Dobrich,BUL
409,Stroitel,
410,?,CAN
411,Pioneer A. C.,CAN
412,Club de Boxe St. Jérôme,
413,Varsity Blues,CAN
414,Top Gloves Amateur Boxing Club,
415,Bow Waters Boxing Club,
416,Granite AC,CAN
417,Lennox AC,CAN
418,Eclipse Club,CAN
419,Citadel Amateur Boxing Club,
420,Citadel Boxing Club,
421,McGrory's,
422,Atlas Amateur Boxing Club,
423,Maple Leaf AC,CAN
424,Napper's Boxing Club,
425,Citadel Amateur Boxing Club,CAN
426,Riverside Athletic Club,CAN
427,Ring 83 Boxing Club,
428,Toronto Central YMCA,
429,Classic AC,CAN
430,Montreal AAA,CAN
431,Alberta Gym,CAN
432,Barrhead BC,CAN
433,Shamrock Boxing Club,
434,Waterloo Regional Boxing Academy,
435,City of Lake Boxing Club,
436,Belding Corticelli AAA,CAN
437,South Side Legion BC,CAN
438,Montréal Titans,
439,Kingston Amateur Boxing Club/Atlas Boxing Club,
440,Praestamos A.C.,CAN
441,Ontario Boxing Academy,
442,Stockley Gym,CAN
443,Palestre Nationale,CAN
444,McGill Martlets,CAN
445,St. Helena Boxing Club,CAN
446,Cougar,
447,100 Mile House Boxing Club,CAN
448,East London Amateur Boxing Club,
449,Princess Patricia's Canadian Light Infantry,
450,Canadian Grenadier Guards,CAN
451,Jamestown Boxing Club,CAN
452,Beaver Boxing Club,CAN
453,Toronto West End YMCA,CAN
454,Astoria,
455,St. Catharines Boxing Club,
456,Fernández Vial,CHI
457,Deportivo Mapocho BC,CHI
458,Ring Club D'Abidjan,CIV
459,White Rock Renegades,CAN
460,Honkbal Club Allen Weerbaar,
461,Fresno State Bulldogs,USA
462,California Golden Bears,USA
463,Angels,
464,Smitty's Terminators,CAN
465,Brisbane Bears/Brisbane Diamonds,
466,California Commotion,
467,Sparks,
468,South Darwin/California As,
469,Rebels Softball Club/Eastern Raiders,
470,Twins Sporting Club,
471,Toyota Motor Corporation,
472,Killara,
473,California Jazz,USA
474,Melbourne Angels/Glen Waverley,
475,South Hill Sports,
476,Tex Town Tigers,
477,Hitachi Takasaki,
478,Terrasvogels,
479,Hitachi,
480,Burlington Ambassadors,
481,Boomerangs,
482,Dorchester Jesters,
483,Redsox/Brisbane Diamonds,
484,Pirates,
485,Redding Rebels,
486,Saints/Brisbane Diamonds,
487,Raybestos Brakettes,
488,Miki House,
489,Toyota Jidoshokki,
490,?,CHN
491,Plateburners,
492,Beijing,
493,Tainan City Team,
494,Taiyo Yuden,
495,Panthers,
496,Texas Longhorns,USA
497,Taipei County Team,
498,Melbourne Reds,AUS
499,Bulldogs,
500,Perth Heat,AUS
501,Brisbane Bandits,AUS
502,Gold Coast Cougars,AUS
503,Queensland Rams,AUS
504,Fort Myers Miracle,USA
505,Adelaide Giants,AUS
506,Waverley Baseball Club,AUS
507,Sydney Blues,
508,Melbourne Monarchs,
509,Hanshin Tigers,JPN
510,Pinar del Río,CUB
511,Villa Clara,CUB
512,Camagüey,CUB
513,Sancti Spíritus,CUB
514,Guantánamo,CUB
515,Holguín,
516,Industriales,CUB
517,Santiago de Cuba,CUB
518,Pinar del Rio/Chunichi Dragons,
519,Matanzas,
520,Industriales,
521,Las Tunas,
522,Henequeneros,
523,Central Río Haina,
524,CAD Irabia,ESP
525,San Ignacio Beisbol,ESP
526,CB Viladecans,ESP
527,Hercules L'Hospitalet,ESP
528,S.D. Iturrigorri,ESP
529,CD Amaya,ESP
530,Santa Monica,USA
531,Nettuno BC,ITA
532,Fortitudo Bologna,ITA
533,Mediolanum Milano,ITA
534,Rimini Baseball Club,ITA
535,Parma Baseball,ITA
536,BBC Grosseto,ITA
537,Juventus Torino/Caffè Danesi Nettuno/BBC Grosseto Orioles,
538,Juventus Torino,
539,Novara BC/Juventus Torino/Italeri Fortitudo Bologna,
540,Modena Baseball,ITA
541,Chunichi Dragons,JPN
542,Aoyama Gakuin University,
