evento_id,edicion_id,deporte_id,nombre_evento
1,1,1,Basketball Men's Basketball
2,2,2,Judo Men's Extra-Lightweight
3,3,3,Football Men's Football
4,4,4,Tug-Of-War Men's Tug-Of-War
5,5,5,Speed Skating Women's 500 metres
6,5,5,"Speed Skating Women's 1,000 metres"
7,6,5,Speed Skating Women's 500 metres
8,6,5,"Speed Skating Women's 1,000 metres"
9,7,5,Speed Skating Women's 500 metres
10,7,5,"Speed Skating Women's 1,000 metres"
11,6,6,Cross Country Skiing Men's 10 kilometres
12,6,6,Cross Country Skiing Men's 50 kilometres
13,6,6,Cross Country Skiing Men's 10/15 kilometres Pursuit
14,6,6,Cross Country Skiing Men's 4 x 10 kilometres Relay
15,7,6,Cross Country Skiing Men's 10 kilometres
16,7,6,Cross Country Skiing Men's 30 kilometres
17,7,6,Cross Country Skiing Men's 10/15 kilometres Pursuit
18,7,6,Cross Country Skiing Men's 4 x 10 kilometres Relay
19,8,7,Athletics Women's 100 metres
20,8,7,Athletics Women's 4 x 100 metres Relay
21,9,8,Ice Hockey Men's Ice Hockey
22,10,9,Swimming Men's 400 metres Freestyle
23,11,6,Cross Country Skiing Men's 30 kilometres
24,12,10,Badminton Men's Singles
25,13,11,Sailing Women's Windsurfer
26,12,11,Sailing Women's Windsurfer
27,7,12,Biathlon Women's 7.5 kilometres Sprint
28,14,9,Swimming Men's 200 metres Breaststroke
29,14,9,Swimming Men's 400 metres Breaststroke
30,3,9,Swimming Men's 200 metres Breaststroke
31,3,9,Swimming Men's 400 metres Breaststroke
32,15,9,Swimming Men's 200 metres Breaststroke
33,16,8,Ice Hockey Men's Ice Hockey
34,17,13,Gymnastics Men's Individual All-Around
35,17,13,Gymnastics Men's Team All-Around
36,17,13,Gymnastics Men's Floor Exercise
37,17,13,Gymnastics Men's Horse Vault
38,17,13,Gymnastics Men's Parallel Bars
39,17,13,Gymnastics Men's Horizontal Bar
40,17,13,Gymnastics Men's Rings
41,17,13,Gymnastics Men's Pommelled Horse
42,10,13,Gymnastics Men's Individual All-Around
43,10,13,Gymnastics Men's Team All-Around
44,10,13,Gymnastics Men's Floor Exercise
45,10,13,Gymnastics Men's Horse Vault
46,10,13,Gymnastics Men's Parallel Bars
47,10,13,Gymnastics Men's Horizontal Bar
48,10,13,Gymnastics Men's Rings
49,10,13,Gymnastics Men's Pommelled Horse
50,12,7,Athletics Men's Shot Put
51,17,14,"Art Competitions Mixed Sculpturing, Unknown Event"
52,6,15,Alpine Skiing Men's Downhill
53,6,15,Alpine Skiing Men's Super G
54,6,15,Alpine Skiing Men's Giant Slalom
55,6,15,Alpine Skiing Men's Slalom
56,7,15,Alpine Skiing Men's Downhill
57,7,15,Alpine Skiing Men's Super G
58,7,15,Alpine Skiing Men's Giant Slalom
59,7,15,Alpine Skiing Men's Slalom
60,7,15,Alpine Skiing Men's Combined
61,18,15,Alpine Skiing Men's Downhill
62,18,15,Alpine Skiing Men's Super G
63,18,15,Alpine Skiing Men's Giant Slalom
64,18,15,Alpine Skiing Men's Combined
65,9,15,Alpine Skiing Men's Downhill
66,9,15,Alpine Skiing Men's Super G
67,9,15,Alpine Skiing Men's Giant Slalom
68,9,15,Alpine Skiing Men's Slalom
69,9,15,Alpine Skiing Men's Combined
70,19,15,Alpine Skiing Men's Downhill
71,19,15,Alpine Skiing Men's Super G
72,20,16,Handball Women's Handball
73,21,17,Weightlifting Women's Super-Heavyweight
74,12,18,"Wrestling Men's Light-Heavyweight, Greco-Roman"
75,22,18,"Wrestling Men's Light-Heavyweight, Greco-Roman"
76,23,5,Speed Skating Men's 500 metres
77,23,5,"Speed Skating Men's 1,500 metres"
78,24,5,"Speed Skating Men's 1,500 metres"
79,3,13,"Gymnastics Men's Team All-Around, Free System"
80,25,19,Luge Women's Singles
81,26,20,Water Polo Men's Water Polo
82,27,11,Sailing Mixed Three Person Keelboat
83,28,11,Sailing Mixed Three Person Keelboat
84,29,21,Hockey Women's Hockey
85,13,22,Rowing Men's Lightweight Double Sculls
86,12,22,Rowing Men's Lightweight Double Sculls
87,30,7,Athletics Men's Pole Vault
88,14,7,Athletics Men's High Jump
89,1,11,Sailing Men's Two Person Dinghy
90,13,11,Sailing Men's Two Person Dinghy
91,2,7,"Athletics Men's 1,500 metres"
92,18,23,Bobsleigh Men's Four
93,13,9,Swimming Men's 100 metres Butterfly
94,13,9,Swimming Men's 200 metres Butterfly
95,13,9,Swimming Men's 4 x 100 metres Medley Relay
96,12,9,Swimming Men's 100 metres Butterfly
97,12,9,Swimming Men's 200 metres Butterfly
98,13,3,Football Women's Football
99,14,24,"Fencing Men's Foil, Individual"
100,14,24,"Fencing Men's epee, Individual"
101,14,24,"Fencing Men's epee, Team"
102,31,5,"Speed Skating Men's 1,500 metres"
103,32,5,"Speed Skating Men's 1,500 metres"
104,32,5,"Speed Skating Men's 5,000 metres"
105,23,5,"Speed Skating Men's 5,000 metres"
106,23,5,"Speed Skating Men's 10,000 metres"
107,14,11,Sailing Mixed 8 metres
108,1,25,"Equestrianism Mixed Jumping, Individual"
109,18,6,Cross Country Skiing Men's 30 kilometres
110,18,6,Cross Country Skiing Men's 50 kilometres
111,9,6,Cross Country Skiing Men's 15 kilometres
112,9,6,Cross Country Skiing Men's 50 kilometres
113,9,6,Cross Country Skiing Men's 4 x 10 kilometres Relay
114,30,26,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
115,30,26,"Shooting Men's Rapid-Fire Pistol, 25 metres"
116,17,26,"Shooting Men's Rapid-Fire Pistol, 25 metres"
117,10,26,Shooting Men's Trap
118,33,26,Shooting Men's Trap
119,34,26,Shooting Men's Trap
120,3,7,Athletics Men's 4 x 100 metres Relay
121,3,7,Athletics Men's Long Jump
122,15,7,Athletics Men's Long Jump
123,35,7,Athletics Men's Long Jump
124,2,27,Boxing Men's Light-Welterweight
125,22,7,Athletics Women's Javelin Throw
126,20,7,Athletics Women's Javelin Throw
127,1,18,"Wrestling Men's Heavyweight, Freestyle"
128,13,18,"Wrestling Men's Heavyweight, Freestyle"
129,21,13,Gymnastics Men's Individual All-Around
130,21,13,Gymnastics Men's Floor Exercise
131,21,13,Gymnastics Men's Parallel Bars
132,21,13,Gymnastics Men's Horizontal Bar
133,21,13,Gymnastics Men's Rings
134,21,13,Gymnastics Men's Pommelled Horse
