pais_id,anio,poblacion
AFG,1960,8622466
AFG,1961,8790140
AFG,1962,8969047
AFG,1963,9157465
AFG,1964,9355514
AFG,1965,9565147
AFG,1966,9783147
AFG,1967,10010030
AFG,1968,10247780
AFG,1969,10494489
AFG,1970,10752971
AFG,1971,11015857
AFG,1972,11286753
AFG,1973,11575305
AFG,1974,11869879
AFG,1975,12157386
AFG,1976,12425267
AFG,1977,12687301
AFG,1978,12938862
AFG,1979,12986369
AFG,1980,12486631
AFG,1981,11155195
AFG,1982,10088289
AFG,1983,9951449
AFG,1984,10243686
AFG,1985,10512221
AFG,1986,10448442
AFG,1987,10322758
AFG,1988,10383460
AFG,1989,10673168
AFG,1990,10694796
AFG,1991,10745167
AFG,1992,12057433
AFG,1993,14003760
AFG,1994,15455555
AFG,1995,16418912
AFG,1996,17106595
AFG,1997,17788819
AFG,1998,18493132
AFG,1999,19262847
AFG,2000,19542982
AFG,2001,19688632
AFG,2002,21000256
AFG,2003,22645130
AFG,2004,23553551
AFG,2005,24411191
AFG,2006,25442944
AFG,2007,25903301
AFG,2008,26427199
AFG,2009,27385307
AFG,2010,28189672
AFG,2011,29249157
AFG,2012,30466479
AFG,2013,31541209
AFG,2014,32716210
AFG,2015,33753499
AFG,2016,34636207
AFG,2017,35643418
AFG,2018,36686784
AFG,2019,37769499
AFG,2020,38972230
AFG,2021,40099462
AFG,2022,41128771
AFG,2023,42239854
ALB,1960,1608800
ALB,1961,1659800
ALB,1962,1711319
ALB,1963,1762621
ALB,1964,1814135
ALB,1965,1864791
ALB,1966,1914573
ALB,1967,1965598
ALB,1968,2022272
ALB,1969,2081695
ALB,1970,2135479
ALB,1971,2187853
ALB,1972,2243126
ALB,1973,2296752
ALB,1974,2350124
ALB,1975,2404831
ALB,1976,2458526
ALB,1977,2513546
ALB,1978,2566266
ALB,1979,2617832
ALB,1980,2671997
ALB,1981,2726056
ALB,1982,2784278
ALB,1983,2843960
ALB,1984,2904429
ALB,1985,2964762
ALB,1986,3022635
ALB,1987,3083605
ALB,1988,3142336
ALB,1989,3227943
ALB,1990,3286542
ALB,1991,3266790
ALB,1992,3247039
ALB,1993,3227287
ALB,1994,3207536
ALB,1995,3187784
ALB,1996,3168033
ALB,1997,3148281
ALB,1998,3128530
ALB,1999,3108778
ALB,2000,3089027
ALB,2001,3060173
ALB,2002,3051010
ALB,2003,3039616
ALB,2004,3026939
ALB,2005,3011487
ALB,2006,2992547
ALB,2007,2970017
ALB,2008,2947314
ALB,2009,2927519
ALB,2010,2913021
ALB,2011,2905195
ALB,2012,2900401
ALB,2013,2895092
ALB,2014,2889104
ALB,2015,2880703
ALB,2016,2876101
ALB,2017,2873457
ALB,2018,2866376
ALB,2019,2854191
ALB,2020,2837849
ALB,2021,2811666
ALB,2022,2777689
ALB,2023,2745972
AND,1960,9443
AND,1961,10216
AND,1962,11014
AND,1963,11839
AND,1964,12690
AND,1965,13563
AND,1966,14546
AND,1967,15745
AND,1968,17079
AND,1969,18449
AND,1970,19860
AND,1971,21322
AND,1972,22832
AND,1973,24393
AND,1974,26003
AND,1975,27640
AND,1976,29294
AND,1977,30949
AND,1978,32574
AND,1979,34142
AND,1980,35611
AND,1981,36987
AND,1982,38598
AND,1983,40432
AND,1984,42181
AND,1985,43809
AND,1986,45605
AND,1987,47635
AND,1988,49654
AND,1989,51639
AND,1990,53569
AND,1991,55434
AND,1992,57283
AND,1993,59156
AND,1994,61037
AND,1995,62928
AND,1996,64147
AND,1997,64682
AND,1998,65186
AND,1999,65655
AND,2000,66097
AND,2001,67820
AND,2002,70849
AND,2003,73907
AND,2004,76933
AND,2005,79826
AND,2006,80221
AND,2007,78168
AND,2008,76055
AND,2009,73852
AND,2010,71519
AND,2011,70567
AND,2012,71013
AND,2013,71367
AND,2014,71621
AND,2015,71746
AND,2016,72540
AND,2017,73837
AND,2018,75013
AND,2019,76343
AND,2020,77700
AND,2021,79034
AND,2022,79824
AND,2023,80088
ARG,1960,20349744
ARG,1961,20680653
ARG,1962,21020359
ARG,1963,21364017
ARG,1964,21708487
ARG,1965,22053661
ARG,1966,22403116
ARG,1967,22757014
ARG,1968,23112971
ARG,1969,23472028
ARG,1970,23842803
ARG,1971,24223379
ARG,1972,24612794
ARG,1973,25020588
ARG,1974,25449754
ARG,1975,25875558
ARG,1976,26290257
ARG,1977,26713780
ARG,1978,27146121
ARG,1979,27584134
ARG,1980,28024803
ARG,1981,28471285
ARG,1982,28922762
ARG,1983,29377137
ARG,1984,29832197
ARG,1985,30287112
ARG,1986,30748326
ARG,1987,31216453
ARG,1988,31690792
ARG,1989,32165766
ARG,1990,32637657
ARG,1991,33105763
ARG,1992,33568285
ARG,1993,34027240
ARG,1994,34488696
ARG,1995,34946110
ARG,1996,35389362
ARG,1997,35815971
ARG,1998,36233195
ARG,1999,36653031
ARG,2000,37070774
ARG,2001,37480493
ARG,2002,37885028
ARG,2003,38278164
ARG,2004,38668796
ARG,2005,39070501
ARG,2006,39476851
ARG,2007,39876111
ARG,2008,40273769
ARG,2009,40684338
ARG,2010,40788453
ARG,2011,41261490
ARG,2012,41733271
ARG,2013,42202935
ARG,2014,42669500
ARG,2015,43131966
ARG,2016,43590368
ARG,2017,44044811
ARG,2018,44494502
ARG,2019,44938712
ARG,2020,45376763
ARG,2021,45808747
ARG,2022,46234830
ARG,2023,46654581
ARM,1960,1904148
ARM,1961,1971530
ARM,1962,2039346
ARM,1963,2106142
ARM,1964,2171029
ARM,1965,2234051
ARM,1966,2295496
ARM,1967,2355997
ARM,1968,2416461
ARM,1969,2476359
ARM,1970,2534377
ARM,1971,2590923
ARM,1972,2648048
ARM,1973,2706852
ARM,1974,2767646
ARM,1975,2830798
ARM,1976,2896311
ARM,1977,2965523
ARM,1978,3038224
ARM,1979,3097058
ARM,1980,3135123
ARM,1981,3167876
ARM,1982,3202011
ARM,1983,3238291
ARM,1984,3272102
ARM,1985,3300896
ARM,1986,3327182
ARM,1987,3351364
ARM,1988,3366838
ARM,1989,3448186
ARM,1990,3556539
ARM,1991,3617631
ARM,1992,3574555
ARM,1993,3457349
ARM,1994,3373713
ARM,1995,3322782
ARM,1996,3298898
ARM,1997,3271418
ARM,1998,3240550
ARM,1999,3206030
ARM,2000,3168523
ARM,2001,3133133
ARM,2002,3105037
ARM,2003,3084102
ARM,2004,3065745
ARM,2005,3047246
ARM,2006,3026486
ARM,2007,3004393
ARM,2008,2983421
ARM,2009,2964296
ARM,2010,2946293
ARM,2011,2928976
ARM,2012,2914421
ARM,2013,2901385
ARM,2014,2889930
ARM,2015,2878595
ARM,2016,2865835
ARM,2017,2851923
ARM,2018,2836557
ARM,2019,2820602
ARM,2020,2805608
ARM,2021,2790974
ARM,2022,2780469
ARM,2023,2777970
AUS,1960,10276477
AUS,1961,10483000
AUS,1962,10742000
AUS,1963,10950000
AUS,1964,11167000
AUS,1965,11388000
AUS,1966,11651000
AUS,1967,11799000
AUS,1968,12009000
AUS,1969,12263000
AUS,1970,12507000
AUS,1971,12937000
AUS,1972,13177000
